company_id,ticker,from_year,to_year,previous_pattern,latest_pattern
C062,CANBK,2023,2024,Acquisition Led,Capex Heavy
C063,UNIONBANK,2023,2024,Capex Heavy,Working Capital Builder
C064,TVSMOTOR,2023,2024,Working Capital Builder,Turnaround
C065,TRENT,2023,2024,Turnaround,Reinvestor
C066,ZOMATO,2023,2024,Reinvestor,Cash Compounder
C067,DMART,2023,2024,Cash Compounder,Dividend Distributor
C068,NAUKRI,2023,2024,Dividend Distributor,Debt Reducer
C069,IRCTC,2023,2024,Debt Reducer,Acquisition Led
C070,BEL,2023,2024,Acquisition Led,Capex Heavy
C071,HAL,2023,2024,Capex Heavy,Working Capital Builder
C072,BHEL,2023,2024,Working Capital Builder,Turnaround
C073,ADANIGREEN,2023,2024,Turnaround,Reinvestor
C074,ADANIPOWER,2023,2024,Reinvestor,Cash Compounder
C075,JIOFIN,2023,2024,Cash Compounder,Dividend Distributor
C076,LTIM,2023,2024,Dividend Distributor,Debt Reducer
C077,PERSISTENT,2023,2024,Debt Reducer,Acquisition Led
C078,OFSS,2023,2024,Acquisition Led,Capex Heavy
C079,MPHASIS,2023,2024,Capex Heavy,Working Capital Builder
C080,LUPIN,2023,2024,Working Capital Builder,Turnaround
C081,TORNTPHARM,2023,2024,Turnaround,Reinvestor
C082,BIOCON,2023,2024,Reinvestor,Cash Compounder
C083,MOTHERSON,2023,2024,Cash Compounder,Dividend Distributor
C084,BOSCHLTD,2023,2024,Dividend Distributor,Debt Reducer
C085,INDIGO,2023,2024,Debt Reducer,Acquisition Led
C086,GAIL,2023,2024,Acquisition Led,Capex Heavy
C087,IOC,2023,2024,Capex Heavy,Working Capital Builder
C088,PETRONET,2023,2024,Working Capital Builder,Turnaround
C089,COLPAL,2023,2024,Turnaround,Reinvestor
C090,MARICO,2023,2024,Reinvestor,Cash Compounder
C091,BERGEPAINT,2023,2024,Cash Compounder,Dividend Distributor
C092,SHREECEM,2023,2024,Dividend Distributor,Debt Reducer
